session_label,window_idx,cluster
20260507_142235_order2,840,2
20260507_142235_order2,870,2
20260507_142235_order2,900,2
20260507_142235_order2,930,2
20260507_142235_order2,960,2
20260507_142235_order2,990,2
20260507_142235_order2,1020,2
20260507_142235_order2,1050,2
20260507_142235_order2,1080,2
20260507_142235_order2,1110,2
20260507_142235_order2,1140,2
20260507_142235_order2,1170,2
20260507_142235_order2,1200,2
20260507_142235_order2,1230,2
20260507_142235_order2,1260,2
20260507_142235_order2,1290,2
20260507_142235_order2,1320,2
20260507_142235_order2,1350,2
20260507_142235_order2,1380,2
20260507_142235_order2,1410,2
20260507_142235_order2,1500,2
20260507_142235_order2,1530,2
20260507_142235_order2,1560,5
20260507_142235_order2,1680,2
20260507_142235_order2,1710,2
20260507_142235_order2,1740,2
20260507_142235_order2,1770,2
20260507_142235_order2,1800,2
20260507_142235_order2,1830,5
20260507_142235_order2,1860,5
20260507_142235_order2,1890,5
20260507_142235_order2,2130,5
20260507_142235_order2,2160,2
20260507_142235_order2,2190,5
20260507_142235_order2,2220,4
20260507_142235_order2,2250,4
20260507_142235_order2,2280,4
20260507_142235_order2,2310,5
20260507_142235_order2,2340,5
20260507_142235_order2,2370,5
20260507_142235_order2,2400,5
20260507_142235_order2,2430,5
20260507_142235_order2,2460,2
20260507_142235_order2,2490,5
20260507_142235_order2,2520,5
20260507_142235_order2,2550,5
20260507_142235_order2,2580,5
20260507_142235_order2,2610,5
20260507_142235_order2,2640,4
20260507_142235_order2,2670,5
20260507_142235_order2,2700,5
20260507_142235_order2,2730,2
20260507_142235_order2,2760,2
20260507_142235_order2,2790,2
20260507_142235_order2,2820,5
20260507_142235_order2,2970,5
20260507_142235_order2,3000,5
20260507_142235_order2,3030,5
20260507_142235_order2,3060,5
20260507_142235_order2,3120,5
20260507_142235_order2,3150,5
20260507_142235_order2,3180,5
20260507_142235_order2,3210,2
20260507_142235_order2,3240,5
20260507_142235_order2,3270,5
20260507_142235_order2,3300,5
20260507_142235_order2,3330,5
20260507_142235_order2,3360,5
20260507_142235_order2,3390,5
20260507_142235_order2,3420,5
20260507_142235_order2,3450,2
20260507_142235_order2,3480,2
20260507_142235_order2,3510,2
20260507_142235_order2,3660,5
20260507_142235_order2,3690,5
20260507_142235_order2,3720,2
20260507_142235_order2,3750,2
20260507_142235_order2,3780,2
20260507_142235_order2,3810,5
20260507_142235_order2,3840,5
20260507_142235_order2,3930,2
20260507_142235_order2,3960,2
20260507_142235_order2,3990,2
20260507_142235_order2,4020,2
20260507_143033_order3,0,2
20260507_143033_order3,30,5
20260507_143033_order3,90,2
20260507_143033_order3,120,2
20260507_143033_order3,150,2
20260507_143033_order3,180,2
20260507_143033_order3,390,2
20260507_143033_order3,420,5
20260507_143033_order3,450,5
20260507_143033_order3,480,2
20260507_143033_order3,510,2
20260507_143033_order3,540,2
20260507_143033_order3,570,2
20260507_143033_order3,600,2
20260507_143033_order3,630,2
20260507_143033_order3,660,2
20260507_143033_order3,690,2
20260507_143033_order3,720,2
20260507_143033_order3,750,2
20260507_143033_order3,780,2
20260507_143033_order3,810,2
20260507_143033_order3,900,5
